Date,Campaign_ID,Campaign,Primary_channel_group,Source,Total_users,Sessions,Ads_impressions,Ads_clicks,Ads_cost,Return_on_ad_spend,Ads_CTR
2025-05-12,(not set),(organic),Organic Search,google,4,5,0,0,0.0,0.0,0.0
2025-05-12,(not set),(referral),Organic Social,l.instagram.com,2,3,0,0,0.0,0.0,0.0
2025-05-12,(not set),(referral),Organic Social,adsmanager.facebook.com,1,1,0,0,0.0,0.0,0.0
2025-05-12,(not set),sag_organic,Organic Search,google,1,1,0,0,0.0,0.0,0.0
2025-05-12,01JT6NQHSRGEJBZRCFBNNPZVGV,"Mother's Day - May 1, 2025, 4:38 PM",Email,email,1,2,0,0,0.0,0.0,0.0
2025-05-12,Shopping Free Listings,Shopping Free Listings,Organic Shopping,google,1,1,0,0,0.0,0.0,0.0
2025-05-12,21934847264,(not set),Paid Shopping,google,0,0,1976,9,2.140083,0.0,0.004554655870445344
2025-05-12,21938652714,(not set),Paid Search,google,0,0,101,1,0.06,0.0,0.009900990099009901
2025-05-12,21971168776,(not set),Cross-network,google,0,0,150,6,12.530116,0.0,0.04
2025-05-12,22377170377,(not set),Cross-network,google,0,0,119,8,7.766426,0.0,0.06722689075630252
2025-05-11,(not set),(direct),Direct,(direct),4,4,0,0,0.0,0.0,0.0
2025-05-11,21938652714,G_Search_Brand,Paid Search,google,3,3,118,19,22.482088,0.0,0.16101694915254236
2025-05-11,120225882364500415,120225882364500415,Paid Social,facebook,2,2,0,0,0.0,0.0,0.0
2025-05-11,21938652714,(not set),Paid Search,google,0,0,89,0,0.0,0.0,0.0
2025-05-11,21971168776,(not set),Cross-network,google,0,0,88,0,0.024689,0.0,0.0
2025-05-10,(not set),(direct),Direct,(direct),3,3,0,0,0.0,0.0,0.0
2025-05-10,21938652714,G_Search_Brand,Paid Search,google,2,2,227,27,16.039855,0.0,0.11894273127753303
2025-05-10,(not set),(referral),Organic Social,business.facebook.com,1,2,0,0,0.0,0.0,0.0
2025-05-10,(not set),(referral),Organic Social,facebook,1,2,0,0,0.0,0.0,0.0
2025-05-10,(not set),(referral),Organic Social,l.instagram.com,1,2,0,0,0.0,0.0,0.0
2025-05-10,01JTRNMVWB8MJKW4PCXH36TSKY,"Last call Mothers day - May 10, 2025, 3:59 PM",Email,email,1,1,0,0,0.0,0.0,0.0
2025-05-10,120223927023110417,120223927023110417,Paid Social,ig,1,1,0,0,0.0,0.0,0.0
2025-05-10,21934847264,Google_Shopping_Pickleball,Paid Shopping,google,1,1,2297,24,6.68,0.0,0.01044841097083152
2025-05-10,21964162006,G_PMax_Padel_Tier3,Cross-network,google,1,1,1430,13,9.341594,0.0,0.00909090909090909
2025-05-10,21934847264,(not set),Paid Shopping,google,0,0,238,0,0.0,0.0,0.0
2025-05-10,21938652714,(not set),Display,google,0,0,13,0,0.0,0.0,0.0
2025-05-10,21938652714,(not set),Paid Search,google,0,0,90,0,0.0,0.0,0.0
2025-05-10,22377183748,(not set),Cross-network,google,0,0,496,3,7.764994,0.0,0.006048387096774193
2025-05-09,(not set),(direct),Direct,(direct),3,3,0,0,0.0,0.0,0.0
2025-05-09,(not set),(referral),Organic Social,l.instagram.com,2,2,0,0,0.0,0.0,0.0
2025-05-09,21938652714,G_Search_Brand,Paid Search,google,2,2,170,20,9.827635,0.0,0.11764705882352941
2025-05-09,(not set),(referral),Organic Social,facebook,1,1,0,0,0.0,0.0,0.0
2025-05-09,(not set),(referral),Organic Social,l.facebook.com,1,1,0,0,0.0,0.0,0.0
2025-05-09,01JQA1VFY11JS912HRYJVP9NWC,Clientes -100,Email,email,1,1,0,0,0.0,0.0,0.0
2025-05-09,120225882364500415,120225882364500415,Paid Social,facebook,1,1,0,0,0.0,0.0,0.0
2025-05-09,VD8vP6,Abandoned Cart: Email 1,Email,email,1,1,0,0,0.0,0.0,0.0
2025-05-09,21934847264,(not set),Paid Shopping,google,0,0,310,0,0.0,0.0,0.0
2025-05-09,21964277743,(not set),Paid Shopping,google,0,0,2940,21,8.38019,0.0,0.007142857142857143
2025-05-09,21971168776,(not set),Cross-network,google,0,0,77,4,18.384811,0.0,0.05194805194805195
2025-05-09,22377170377,(not set),Cross-network,google,0,0,18,0,0.005138,0.0,0.0
2025-05-09,22377183748,(not set),Cross-network,google,0,0,512,6,6.95407,0.0,0.01171875
2025-05-08,(not set),(organic),Organic Search,google,5,7,0,0,0.0,0.0,0.0
2025-05-08,(not set),(referral),Organic Social,l.instagram.com,2,4,0,0,0.0,0.0,0.0
2025-05-08,120223833484880417,120223833484880417,Paid Social,ig,2,2,0,0,0.0,0.0,0.0
2025-05-08,21964162006,G_PMax_Padel_Tier3,Cross-network,google,2,2,1129,14,8.318323,7.92707857100523,0.012400354295837024
2025-05-08,(not set),(referral),Organic Shopping,shop.app,1,1,0,0,0.0,0.0,0.0
2025-05-08,(not set),(referral),Organic Social,adsmanager.facebook.com,1,2,0,0,0.0,0.0,0.0
2025-05-08,(not set),(referral),Organic Social,facebook,1,2,0,0,0.0,0.0,0.0
2025-05-08,(not set),(referral),Organic Social,facebook.com,1,2,0,0,0.0,0.0,0.0
2025-05-08,(not set),(referral),Organic Social,instagram.com,1,1,0,0,0.0,0.0,0.0
2025-05-08,(not set),(referral),Referral,bestcouponhub.com,1,2,0,0,0.0,0.0,0.0
2025-05-08,01JT6NQHSRGEJBZRCFBNNPZVGV,"Mother's Day - May 1, 2025, 4:38 PM",Email,email,1,2,0,0,0.0,0.0,0.0
2025-05-08,120225882364500415,120225882364500415,Paid Social,facebook,1,1,0,0,0.0,0.0,0.0
2025-05-08,21938652714,(not set),Display,google,0,0,10,0,0.0,0.0,0.0
2025-05-07,(not set),(organic),Organic Search,google,6,6,0,0,0.0,0.0,0.0
