Date,Transaction_ID,Session_primary_channel_group,Campaign_ID,Campaign,Shipping_tier,Page_title,Key_events,Shopify_Order_ID
2025-05-12,,Cross-network,(not set),(direct),,Online Padel & Pickleball Store in the USA | Racket Central,2.0,
2025-05-12,,Organic Search,(not set),(organic),,Babolat Padel Racket Counter Vertuo 25 – Racket Central,2.0,
2025-05-12,,Direct,(not set),(direct),,Nox Padel Racket AT10 Genius 18K Alum 25 – Racket Central,1.0,
2025-05-12,,Email,01JTQWZ0HQ6NSQPXAFMK0DYJZG,"May deals - May 8, 2025, 9:10 AM",,Head Padel Racket One Ultralight – Racket Central,1.0,
2025-05-12,,Organic Search,(not set),sag_organic,,CRBN Pickleball Bag Pro Team Sling Bag - Black – Racket Central,1.0,
2025-05-12,,Paid Shopping,21964277743,Google_Shopping_Padel,,Checkout - Racket Central,1.0,
2025-05-12,,Paid Shopping,21964277743,Google_Shopping_Padel,,Dunlop Padel Racket Inferno Carbon Extreme – Racket Central,1.0,
2025-05-12,,Unassigned,(not set),(organic),,Checkout - Racket Central,1.0,
2025-05-12,,Unassigned,(not set),G_Search_Brand,,Online Padel & Pickleball Store in the USA | Racket Central,1.0,
2025-05-12,6357035647253,Unassigned,(not set),(organic),,Thank you for your purchase! - Racket Central - Checkout,1.0,gid://shopify/Order/6357035647253
2025-05-12,,Email,(not set),(organic),,Head Padel Racket One Ultralight – Racket Central,0.0,
2025-05-12,,Email,(not set),(organic),,Shop Premium Padel Equipment Online – Racket Central,0.0,
2025-05-12,,Email,(not set),(referral),,Shop Premium Padel Equipment Online – Racket Central,0.0,
2025-05-12,,Email,01JT6NQHSRGEJBZRCFBNNPZVGV,"Mother's Day - May 1, 2025, 4:38 PM",,Head Padel Racket One Ultralight – Racket Central,0.0,
2025-05-12,,Organic Search,(not set),Shopping Free Listings,,Checkout - Racket Central,0.0,
2025-05-12,,Unassigned,(not set),(referral),,Head Padel Racket One Ultralight – Racket Central,0.0,
2025-05-12,,Unassigned,(not set),"Mother's Day - May 1, 2025, 4:38 PM",,Head Padel Racket One Ultralight – Racket Central,0.0,
2025-05-11,(not set),Direct,(not set),(direct),(not set),Checkout - Racket Central,3.0,
2025-05-11,(not set),Cross-network,21964162006,G_PMax_Padel_Tier3,(not set),Joola Pickleball Paddle Simone Jardim Hyperion CFS - 16mm – Racket Central,2.0,
2025-05-11,(not set),Cross-network,22377183748,G_PMAX_Padel_Tier1_Mar25,(not set),Bullpadel Padel Racket Hack 04 25 – Racket Central,2.0,
2025-05-11,(not set),Direct,(not set),(direct),(not set),Adidas Padel Racket CROSS IT CTRL – Racket Central,2.0,
2025-05-11,(not set),Direct,(not set),(direct),(not set),Adidas Padel Racket Cross It Ctrl 3.4 – Racket Central,2.0,
2025-05-11,(not set),Direct,(not set),(direct),(not set),Head Shoes Motion Pro Padel Men BBFC – Racket Central,2.0,
2025-05-11,(not set),Paid Search,21938652714,G_Search_Brand,(not set),Head Padel Racket Extreme One – Racket Central,2.0,
2025-05-11,(not set),Paid Search,21938652714,G_Search_Brand,(not set),Head Padel Racket Vibe 2025 – Racket Central,2.0,
2025-05-11,(not set),Paid Search,21938652714,G_Search_Brand,(not set),Nox Padel Racket Equation Advanced 2025 – Racket Central,2.0,
